consumer_number,family_members,working_members,ages,units_consumed,cost_per_unit,usage_hours,Power_Rating_W,Units_Consumed_Per_Hour_kWh,Base Tariff (cents/kWh),Final Per Unit Cost (cents/kWh),max_length,appliance_name_encoded,location_encoded,name_encoded,email_encoded,password_encoded,month_encoded,energy_consumption
10486,2,0,38,718,10,17.9,121.25,0.12125,8.09,6.3,5,7,0,14,16,432,7,7180
10486,2,0,38,718,10,11.2,121.25,0.12125,8.09,6.3,5,13,0,14,16,432,7,7180
10486,2,0,38,718,10,11.5,121.25,0.12125,8.09,6.3,5,11,0,14,16,432,7,7180
10575,5,4,34,385,5,2.9,825,0.825,8.09,6.3,3,12,0,110,116,83,6,1925
10575,5,4,34,385,5,5,825,0.825,8.09,6.3,3,1,0,110,116,83,6,1925
10575,5,4,34,385,5,6.4,825,0.825,8.09,6.3,3,0,0,110,116,83,6,1925
10622,4,4,36,768,4,11,330,0.33,10.18,7.99,3,10,6,442,475,678,7,3072
10622,4,4,36,768,4,15,330,0.33,10.18,7.99,3,16,6,442,475,678,7,3072
10622,4,4,36,768,4,8.4,330,0.33,10.18,7.99,3,8,6,442,475,678,7,3072
10810,1,0,55,823,5,12.4,886.6666667,0.886666667,13.99,18.57,3,17,9,193,173,673,11,4115
10810,1,0,55,823,5,18.4,886.6666667,0.886666667,13.99,18.57,3,16,9,193,173,673,11,4115
10810,1,0,55,823,5,11.9,886.6666667,0.886666667,13.99,18.57,3,10,9,193,173,673,11,4115
10884,2,2,33,517,8,13.4,355,0.355,12.38819176,13.37575637,2,16,4,679,728,957,1,4136
10884,2,2,33,517,8,15,355,0.355,12.38819176,13.37575637,2,5,4,679,728,957,1,4136
10927,5,1,55,826,10,9.9,477.5,0.4775,14.51,20.77,4,1,8,628,706,872,5,8260
10927,5,1,55,826,10,12.2,477.5,0.4775,14.51,20.77,4,11,8,628,706,872,5,8260
10927,5,1,55,826,10,3,477.5,0.4775,14.51,20.77,4,13,8,628,706,872,5,8260
10927,5,1,55,826,10,19.6,477.5,0.4775,14.51,20.77,4,8,8,628,706,872,5,8260
10962,7,2,35,739,9,3.5,553.3333333,0.553333333,12.38819176,13.37575637,3,12,13,82,131,978,10,6651
10962,7,2,35,739,9,13.6,553.3333333,0.553333333,12.38819176,13.37575637,3,10,13,82,131,978,10,6651
10962,7,2,35,739,9,21.6,553.3333333,0.553333333,12.38819176,13.37575637,3,4,13,82,131,978,10,6651
10983,1,1,33,636,8,18.8,637.5,0.6375,19.88,20.71,2,14,7,367,397,53,6,5088
10983,1,1,33,636,8,20.6,637.5,0.6375,19.88,20.71,2,7,7,367,397,53,6,5088
11126,8,2,43,681,10,6.1,1200,1.2,12.38819176,13.37575637,5,17,2,647,677,648,1,6810
11126,8,2,43,681,10,23.7,1200,1.2,12.38819176,13.37575637,5,13,2,647,677,648,1,6810
11126,8,2,43,681,10,14.5,1200,1.2,12.38819176,13.37575637,5,4,2,647,677,648,1,6810
11126,8,2,43,681,10,19.5,1200,1.2,12.38819176,13.37575637,5,9,2,647,677,648,1,6810
11126,8,2,43,681,10,10.7,1200,1.2,12.38819176,13.37575637,5,0,2,647,677,648,1,6810
11263,2,0,58,437,5,9.5,433.75,0.43375,6.47,5.94,5,7,12,285,325,299,3,2185
11263,2,0,58,437,5,6.5,433.75,0.43375,6.47,5.94,5,1,12,285,325,299,3,2185
11263,2,0,58,437,5,7.9,433.75,0.43375,6.47,5.94,5,5,12,285,325,299,3,2185
11263,2,0,58,437,5,2.6,433.75,0.43375,6.47,5.94,5,13,12,285,325,299,3,2185
11263,2,0,58,437,5,17.7,433.75,0.43375,6.47,5.94,5,4,12,285,325,299,3,2185
11269,5,1,55,184,9,3.1,155,0.155,16.94,18.06,2,11,11,639,651,584,3,1656
11269,5,1,55,184,9,17,155,0.155,16.94,18.06,2,8,11,639,651,584,3,1656
11310,4,1,55,119,4,5.5,537.5,0.5375,10.18,7.99,2,2,6,436,481,8,10,476
11310,4,1,55,119,4,2.3,537.5,0.5375,10.18,7.99,2,15,6,436,481,8,10,476
11467,4,3,42,736,6,2.6,933.3333333,0.933333333,13.99,18.57,3,6,9,63,27,527,0,4416
11467,4,3,42,736,6,17.8,933.3333333,0.933333333,13.99,18.57,3,3,9,63,27,527,0,4416
11467,4,3,42,736,6,20.4,933.3333333,0.933333333,13.99,18.57,3,11,9,63,27,527,0,4416
11606,5,3,41,267,4,10.4,605,0.605,12.38819176,13.37575637,2,14,10,759,790,171,0,1068
11606,5,3,41,267,4,20.9,605,0.605,12.38819176,13.37575637,2,10,10,759,790,171,0,1068
11771,8,6,43,471,5,0.7,86.66666667,0.086666667,16.94,18.06,3,12,11,646,652,966,9,2355
11771,8,6,43,471,5,11.7,86.66666667,0.086666667,16.94,18.06,3,10,11,646,652,966,9,2355
11771,8,6,43,471,5,13.3,86.66666667,0.086666667,16.94,18.06,3,13,11,646,652,966,9,2355
11933,2,0,49,953,7,2.6,650,0.65,13.99,18.57,4,12,9,447,484,103,7,6671
11933,2,0,49,953,7,1.4,650,0.65,13.99,18.57,4,11,9,447,484,103,7,6671
11933,2,0,49,953,7,6.8,650,0.65,13.99,18.57,4,6,9,447,484,103,7,6671
11933,2,0,49,953,7,19.6,650,0.65,13.99,18.57,4,0,9,447,484,103,7,6671
12084,2,1,29,549,8,16.3,620,0.62,13.99,18.57,3,9,9,661,679,848,11,4392
12084,2,1,29,549,8,6.4,620,0.62,13.99,18.57,3,10,9,661,679,848,11,4392
12084,2,1,29,549,8,13.1,620,0.62,13.99,18.57,3,16,9,661,679,848,11,4392
12110,4,4,51,664,6,17.2,715,0.715,13.99,18.57,4,5,9,771,796,303,6,3984
12110,4,4,51,664,6,3.7,715,0.715,13.99,18.57,4,13,9,771,796,303,6,3984
12110,4,4,51,664,6,8.9,715,0.715,13.99,18.57,4,9,9,771,796,303,6,3984
12110,4,4,51,664,6,18.9,715,0.715,13.99,18.57,4,6,9,771,796,303,6,3984
12189,1,0,53,142,6,20.9,1050,1.05,7.58,4.46,4,4,5,31,46,699,11,852
12189,1,0,53,142,6,20.9,1050,1.05,7.58,4.46,4,16,5,31,46,699,11,852
12189,1,0,53,142,6,7.5,1050,1.05,7.58,4.46,4,3,5,31,46,699,11,852
12189,1,0,53,142,6,2.7,1050,1.05,7.58,4.46,4,0,5,31,46,699,11,852
12214,1,1,22,941,4,18.2,633.3333333,0.633333333,6.47,5.94,3,1,12,613,681,725,9,3764
12214,1,1,22,941,4,8.7,633.3333333,0.633333333,6.47,5.94,3,13,12,613,681,725,9,3764
12214,1,1,22,941,4,10,633.3333333,0.633333333,6.47,5.94,3,11,12,613,681,725,9,3764
12283,6,0,47,217,7,22.4,755,0.755,8.09,6.3,2,4,0,254,248,422,0,1519
12283,6,0,47,217,7,11.2,755,0.755,8.09,6.3,2,8,0,254,248,422,0,1519
12302,8,0,56,994,6,2.4,900,0.9,14.51,20.77,2,11,8,574,565,655,1,5964
12302,8,0,56,994,6,13.4,900,0.9,14.51,20.77,2,6,8,574,565,655,1,5964
12304,3,1,79,185,5,11.8,558.3333333,0.558333333,6.47,5.94,4,13,12,152,185,472,6,925
12304,3,1,79,185,5,8,558.3333333,0.558333333,6.47,5.94,4,7,12,152,185,472,6,925
12304,3,1,79,185,5,19.2,558.3333333,0.558333333,6.47,5.94,4,4,12,152,185,472,6,925
12304,3,1,79,185,5,20,558.3333333,0.558333333,6.47,5.94,4,1,12,152,185,472,6,925
12315,7,7,41,935,4,18.8,475,0.475,12.38819176,13.37575637,4,14,10,228,256,518,2,3740
12315,7,7,41,935,4,9.5,475,0.475,12.38819176,13.37575637,4,7,10,228,256,518,2,3740
12315,7,7,41,935,4,10.5,475,0.475,12.38819176,13.37575637,4,12,10,228,256,518,2,3740
12315,7,7,41,935,4,17.4,475,0.475,12.38819176,13.37575637,4,0,10,228,256,518,2,3740
12393,4,0,40,548,7,14.5,883.3333333,0.883333333,12.38819176,13.37575637,5,3,10,876,939,370,6,3836
12393,4,0,40,548,7,22,883.3333333,0.883333333,12.38819176,13.37575637,5,12,10,876,939,370,6,3836
12393,4,0,40,548,7,5.7,883.3333333,0.883333333,12.38819176,13.37575637,5,1,10,876,939,370,6,3836
12393,4,0,40,548,7,20,883.3333333,0.883333333,12.38819176,13.37575637,5,0,10,876,939,370,6,3836
12393,4,0,40,548,7,19.8,883.3333333,0.883333333,12.38819176,13.37575637,5,0,10,876,939,370,6,3836
12418,5,2,52,366,8,21.6,755,0.755,16.94,18.06,2,4,11,897,961,377,6,2928
12418,5,2,52,366,8,23.6,755,0.755,16.94,18.06,2,10,11,897,961,377,6,2928
12487,4,0,59,147,8,21.6,755,0.755,16.94,18.06,3,4,11,79,28,50,5,1176
12487,4,0,59,147,8,11.6,755,0.755,16.94,18.06,3,6,11,79,28,50,5,1176
12487,4,0,59,147,8,0.6,755,0.755,16.94,18.06,3,10,11,79,28,50,5,1176
12670,8,7,43,903,5,5.7,417,0.417,12.38819176,13.37575637,5,11,10,538,619,23,5,4515
12670,8,7,43,903,5,6.8,417,0.417,12.38819176,13.37575637,5,4,10,538,619,23,5,4515
12670,8,7,43,903,5,8.5,417,0.417,12.38819176,13.37575637,5,2,10,538,619,23,5,4515
12670,8,7,43,903,5,13.2,417,0.417,12.38819176,13.37575637,5,5,10,538,619,23,5,4515
12670,8,7,43,903,5,13,417,0.417,12.38819176,13.37575637,5,12,10,538,619,23,5,4515
12786,7,4,45,461,7,3.9,292.5,0.2925,10.98,14.63,4,8,3,804,885,48,10,3227
12786,7,4,45,461,7,23.2,292.5,0.2925,10.98,14.63,4,3,3,804,885,48,10,3227
12786,7,4,45,461,7,8.6,292.5,0.2925,10.98,14.63,4,5,3,804,885,48,10,3227
12786,7,4,45,461,7,11,292.5,0.2925,10.98,14.63,4,13,3,804,885,48,10,3227
12814,2,2,35,531,10,8.8,392.5,0.3925,12.38819176,13.37575637,4,5,13,864,931,413,7,5310
12814,2,2,35,531,10,6.1,392.5,0.3925,12.38819176,13.37575637,4,10,13,864,931,413,7,5310
12814,2,2,35,531,10,14.7,392.5,0.3925,12.38819176,13.37575637,4,11,13,864,931,413,7,5310
12814,2,2,35,531,10,16.9,392.5,0.3925,12.38819176,13.37575637,4,14,13,864,931,413,7,5310
12861,5,3,32,860,9,6.6,933.3333333,0.933333333,12.38819176,13.37575637,4,16,1,297,284,417,4,7740
12861,5,3,32,860,9,15.7,933.3333333,0.933333333,12.38819176,13.37575637,4,17,1,297,284,417,4,7740
12861,5,3,32,860,9,4.2,933.3333333,0.933333333,12.38819176,13.37575637,4,12,1,297,284,417,4,7740
12861,5,3,32,860,9,14.6,933.3333333,0.933333333,12.38819176,13.37575637,4,0,1,297,284,417,4,7740
12967,4,4,36,668,8,21.2,1283.333333,1.283333333,10.98,14.63,3,16,3,231,252,703,5,5344
12967,4,4,36,668,8,18.5,1283.333333,1.283333333,10.98,14.63,3,17,3,231,252,703,5,5344
12967,4,4,36,668,8,8.4,1283.333333,1.283333333,10.98,14.63,3,9,3,231,252,703,5,5344
13009,7,1,45,145,7,10.3,787.5,0.7875,8.09,6.3,2,6,0,319,329,226,11,1015
13009,7,1,45,145,7,13.8,787.5,0.7875,8.09,6.3,2,7,0,319,329,226,11,1015
13023,2,0,81,160,8,3.3,436.6666667,0.436666667,10.98,14.63,5,9,3,694,716,84,3,1280
13023,2,0,81,160,8,19,436.6666667,0.436666667,10.98,14.63,5,14,3,694,716,84,3,1280
13023,2,0,81,160,8,20.7,436.6666667,0.436666667,10.98,14.63,5,10,3,694,716,84,3,1280
13023,2,0,81,160,8,7.3,436.6666667,0.436666667,10.98,14.63,5,13,3,694,716,84,3,1280
13023,2,0,81,160,8,13.8,436.6666667,0.436666667,10.98,14.63,5,8,3,694,716,84,3,1280
13037,7,1,55,907,6,13.9,505,0.505,7.58,4.46,2,8,5,781,837,781,10,5442
13037,7,1,55,907,6,4.5,505,0.505,7.58,4.46,2,15,5,781,837,781,10,5442
13061,1,1,42,262,8,12.5,637.5,0.6375,12.38819176,13.37575637,2,7,4,113,113,208,0,2096
13061,1,1,42,262,8,18.3,637.5,0.6375,12.38819176,13.37575637,2,14,4,113,113,208,0,2096
13102,4,1,54,295,8,21.3,605,0.605,7.58,4.46,2,8,5,416,448,915,10,2360
13102,4,1,54,295,8,10.7,605,0.605,7.58,4.46,2,9,5,416,448,915,10,2360
13323,4,1,56,982,4,8,962.5,0.9625,12.38819176,13.37575637,4,14,1,151,152,403,2,3928
13323,4,1,56,982,4,19.2,962.5,0.9625,12.38819176,13.37575637,4,15,1,151,152,403,2,3928
13323,4,1,56,982,4,20.9,962.5,0.9625,12.38819176,13.37575637,4,12,1,151,152,403,2,3928
13323,4,1,56,982,4,1.9,962.5,0.9625,12.38819176,13.37575637,4,1,1,151,152,403,2,3928
13348,1,1,37,494,5,19,1500,1.5,12.38819176,13.37575637,3,1,1,595,643,841,5,2470
13348,1,1,37,494,5,17.6,1500,1.5,12.38819176,13.37575637,3,15,1,595,643,841,5,2470
13348,1,1,37,494,5,21.2,1500,1.5,12.38819176,13.37575637,3,17,1,595,643,841,5,2470
13439,3,3,36,468,10,7.1,643.75,0.64375,12.38819176,13.37575637,4,9,2,260,279,482,0,4680
13439,3,3,36,468,10,5.9,643.75,0.64375,12.38819176,13.37575637,4,2,2,260,279,482,0,4680
13439,3,3,36,468,10,1.4,643.75,0.64375,12.38819176,13.37575637,4,11,2,260,279,482,0,4680
13439,3,3,36,468,10,8.8,643.75,0.64375,12.38819176,13.37575637,4,15,2,260,279,482,0,4680
13619,7,7,32,300,5,23.4,1177.5,1.1775,13.99,18.57,4,8,9,156,160,39,2,1500
13619,7,7,32,300,5,21.8,1177.5,1.1775,13.99,18.57,4,9,9,156,160,39,2,1500
13619,7,7,32,300,5,17.3,1177.5,1.1775,13.99,18.57,4,17,9,156,160,39,2,1500
13619,7,7,32,300,5,13.8,1177.5,1.1775,13.99,18.57,4,4,9,156,160,39,2,1500
13815,4,4,39,314,7,6.2,1075,1.075,14.51,20.77,2,17,8,802,875,214,8,2198
13815,4,4,39,314,7,21.8,1075,1.075,14.51,20.77,2,12,8,802,875,214,8,2198
13882,8,6,31,458,4,14.5,528.3333333,0.528333333,12.38819176,13.37575637,3,7,4,446,502,941,5,1832
13882,8,6,31,458,4,10.5,528.3333333,0.528333333,12.38819176,13.37575637,3,10,4,446,502,941,5,1832
13882,8,6,31,458,4,21.5,528.3333333,0.528333333,12.38819176,13.37575637,3,1,4,446,502,941,5,1832
14088,8,0,23,587,10,3,1500,1.5,8.09,6.3,2,4,0,187,205,763,11,5870
14088,8,0,23,587,10,3.5,1500,1.5,8.09,6.3,2,6,0,187,205,763,11,5870
14242,1,0,22,643,7,22.8,836.6666667,0.836666667,12.38819176,13.37575637,3,8,4,853,916,853,7,4501
14242,1,0,22,643,7,21.8,836.6666667,0.836666667,12.38819176,13.37575637,3,1,4,853,916,853,7,4501
14242,1,0,22,643,7,19.6,836.6666667,0.836666667,12.38819176,13.37575637,3,15,4,853,916,853,7,4501
14377,7,5,33,634,5,21.6,931.25,0.93125,10.18,7.99,5,2,6,257,229,634,4,3170
14377,7,5,33,634,5,13.9,931.25,0.93125,10.18,7.99,5,17,6,257,229,634,4,3170
14377,7,5,33,634,5,15.4,931.25,0.93125,10.18,7.99,5,12,6,257,229,634,4,3170
14377,7,5,33,634,5,15.1,931.25,0.93125,10.18,7.99,5,1,6,257,229,634,4,3170
14377,7,5,33,634,5,16.3,931.25,0.93125,10.18,7.99,5,0,6,257,229,634,4,3170
14603,3,3,36,938,9,14.1,10,0.01,12.38819176,13.37575637,2,8,10,455,494,170,10,8442
14603,3,3,36,938,9,12.7,10,0.01,12.38819176,13.37575637,2,10,10,455,494,170,10,8442
14695,1,1,48,236,9,13.5,696.25,0.69625,8.09,6.3,5,1,0,631,700,114,9,2124
14695,1,1,48,236,9,16.6,696.25,0.69625,8.09,6.3,5,14,0,631,700,114,9,2124
14695,1,1,48,236,9,22.7,696.25,0.69625,8.09,6.3,5,8,0,631,700,114,9,2124
14695,1,1,48,236,9,12.1,696.25,0.69625,8.09,6.3,5,7,0,631,700,114,9,2124
14695,1,1,48,236,9,21.8,696.25,0.69625,8.09,6.3,5,0,0,631,700,114,9,2124
14903,7,0,54,353,10,1.9,625,0.625,10.98,14.63,3,1,3,485,539,496,8,3530
14903,7,0,54,353,10,22.9,625,0.625,10.98,14.63,3,11,3,485,539,496,8,3530
14903,7,0,54,353,10,18.2,625,0.625,10.98,14.63,3,7,3,485,539,496,8,3530
15087,8,3,55,413,10,15.6,1400,1.4,12.38819176,13.37575637,3,14,2,209,196,217,4,4130
15087,8,3,55,413,10,22.3,1400,1.4,12.38819176,13.37575637,3,17,2,209,196,217,4,4130
15087,8,3,55,413,10,20.8,1400,1.4,12.38819176,13.37575637,3,3,2,209,196,217,4,4130
15103,2,0,23,909,10,13.7,408.3333333,0.408333333,6.47,5.94,3,7,12,680,720,795,5,9090
15103,2,0,23,909,10,4.3,408.3333333,0.408333333,6.47,5.94,3,3,12,680,720,795,5,9090
15103,2,0,23,909,10,23.9,408.3333333,0.408333333,6.47,5.94,3,12,12,680,720,795,5,9090
15224,2,2,36,129,6,16.8,329,0.329,7.58,4.46,5,5,5,251,235,228,4,774
15224,2,2,36,129,6,3.4,329,0.329,7.58,4.46,5,14,5,251,235,228,4,774
15224,2,2,36,129,6,4.3,329,0.329,7.58,4.46,5,2,5,251,235,228,4,774
15224,2,2,36,129,6,15.5,329,0.329,7.58,4.46,5,11,5,251,235,228,4,774
15224,2,2,36,129,6,5,329,0.329,7.58,4.46,5,8,5,251,235,228,4,774
15640,1,0,12,730,7,1.3,1127.5,1.1275,12.38819176,13.37575637,5,17,13,589,664,69,9,5110
15640,1,0,12,730,7,15.5,1127.5,1.1275,12.38819176,13.37575637,5,1,13,589,664,69,9,5110
15640,1,0,12,730,7,15.3,1127.5,1.1275,12.38819176,13.37575637,5,3,13,589,664,69,9,5110
15640,1,0,12,730,7,0.8,1127.5,1.1275,12.38819176,13.37575637,5,10,13,589,664,69,9,5110
15640,1,0,12,730,7,8.9,1127.5,1.1275,12.38819176,13.37575637,5,0,13,589,664,69,9,5110
15747,2,2,38,420,10,17.9,433.75,0.43375,12.38819176,13.37575637,4,15,13,830,880,322,0,4200
15747,2,2,38,420,10,14.3,433.75,0.43375,12.38819176,13.37575637,4,16,13,830,880,322,0,4200
15747,2,2,38,420,10,18.5,433.75,0.43375,12.38819176,13.37575637,4,7,13,830,880,322,0,4200
15747,2,2,38,420,10,9.4,433.75,0.43375,12.38819176,13.37575637,4,10,13,830,880,322,0,4200
15810,1,1,52,610,10,5.9,249,0.249,12.38819176,13.37575637,5,10,10,19,83,438,5,6100
15810,1,1,52,610,10,21.4,249,0.249,12.38819176,13.37575637,5,3,10,19,83,438,5,6100
15810,1,1,52,610,10,17.7,249,0.249,12.38819176,13.37575637,5,5,10,19,83,438,5,6100
15810,1,1,52,610,10,6.3,249,0.249,12.38819176,13.37575637,5,13,10,19,83,438,5,6100
15810,1,1,52,610,10,4.4,249,0.249,12.38819176,13.37575637,5,7,10,19,83,438,5,6100
15936,4,1,36,392,7,17.1,652.5,0.6525,19.88,20.71,4,10,7,365,357,696,5,2744
15936,4,1,36,392,7,22.4,652.5,0.6525,19.88,20.71,4,13,7,365,357,696,5,2744
15936,4,1,36,392,7,6.9,652.5,0.6525,19.88,20.71,4,4,7,365,357,696,5,2744
15936,4,1,36,392,7,21.1,652.5,0.6525,19.88,20.71,4,15,7,365,357,696,5,2744
15945,5,1,72,368,4,2.1,546.25,0.54625,13.99,18.57,4,8,9,786,831,36,9,1472
15945,5,1,72,368,4,5.6,546.25,0.54625,13.99,18.57,4,2,9,786,831,36,9,1472
15945,5,1,72,368,4,20.3,546.25,0.54625,13.99,18.57,4,17,9,786,831,36,9,1472
15945,5,1,72,368,4,13.6,546.25,0.54625,13.99,18.57,4,13,9,786,831,36,9,1472
16059,4,2,40,466,5,17.1,112.5,0.1125,16.94,18.06,3,12,11,321,347,177,0,2330
16059,4,2,40,466,5,18.1,112.5,0.1125,16.94,18.06,3,2,11,321,347,177,0,2330
16059,4,2,40,466,5,19.4,112.5,0.1125,16.94,18.06,3,0,11,321,347,177,0,2330
16593,3,2,32,176,5,23.1,95,0.095,12.38819176,13.37575637,4,5,2,663,694,273,1,880
16593,3,2,32,176,5,13.6,95,0.095,12.38819176,13.37575637,4,12,2,663,694,273,1,880
16593,3,2,32,176,5,9.2,95,0.095,12.38819176,13.37575637,4,2,2,663,694,273,1,880
16593,3,2,32,176,5,20.3,95,0.095,12.38819176,13.37575637,4,0,2,663,694,273,1,880
16653,2,2,40,828,5,21.2,605,0.605,10.18,7.99,2,10,6,320,345,973,8,4140
16653,2,2,40,828,5,9.7,605,0.605,10.18,7.99,2,14,6,320,345,973,8,4140
16797,2,2,31,333,8,19.6,902.5,0.9025,12.38819176,13.37575637,5,13,1,323,341,583,3,2664
16797,2,2,31,333,8,11,902.5,0.9025,12.38819176,13.37575637,5,1,1,323,341,583,3,2664
16797,2,2,31,333,8,4.5,902.5,0.9025,12.38819176,13.37575637,5,17,1,323,341,583,3,2664
16797,2,2,31,333,8,23.2,902.5,0.9025,12.38819176,13.37575637,5,4,1,323,341,583,3,2664
16797,2,2,31,333,8,21.8,902.5,0.9025,12.38819176,13.37575637,5,10,1,323,341,583,3,2664
16876,3,3,47,597,10,11.6,205,0.205,12.38819176,13.37575637,5,16,2,476,543,908,2,5970
16876,3,3,47,597,10,4.5,205,0.205,12.38819176,13.37575637,5,5,2,476,543,908,2,5970
16876,3,3,47,597,10,18.5,205,0.205,12.38819176,13.37575637,5,13,2,476,543,908,2,5970
16876,3,3,47,597,10,8.8,205,0.205,12.38819176,13.37575637,5,8,2,476,543,908,2,5970
16876,3,3,47,597,10,10.9,205,0.205,12.38819176,13.37575637,5,0,2,476,543,908,2,5970
17003,7,0,41,561,7,14.9,900,0.9,8.09,6.3,3,4,0,662,676,939,4,3927
17003,7,0,41,561,7,12.4,900,0.9,8.09,6.3,3,11,0,662,676,939,4,3927
17003,7,0,41,561,7,23.8,900,0.9,8.09,6.3,3,6,0,662,676,939,4,3927
17027,4,2,23,224,4,20.5,291.6666667,0.291666667,7.58,4.46,4,16,5,795,871,320,4,896
17027,4,2,23,224,4,17.4,291.6666667,0.291666667,7.58,4.46,4,12,5,795,871,320,4,896
17027,4,2,23,224,4,9.6,291.6666667,0.291666667,7.58,4.46,4,7,5,795,871,320,4,896
17027,4,2,23,224,4,15.9,291.6666667,0.291666667,7.58,4.46,4,0,5,795,871,320,4,896
17152,5,2,39,924,6,17.9,908.3333333,0.908333333,6.47,5.94,4,16,12,65,0,931,5,5544
17152,5,2,39,924,6,16.6,908.3333333,0.908333333,6.47,5.94,4,17,12,65,0,931,5,5544
17152,5,2,39,924,6,11.6,908.3333333,0.908333333,6.47,5.94,4,2,12,65,0,931,5,5544
17152,5,2,39,924,6,8.9,908.3333333,0.908333333,6.47,5.94,4,0,12,65,0,931,5,5544
17154,7,0,52,183,9,2,950,0.95,19.88,20.71,5,9,7,226,268,468,10,1647
17154,7,0,52,183,9,12.7,950,0.95,19.88,20.71,5,6,7,226,268,468,10,1647
17154,7,0,52,183,9,2.6,950,0.95,19.88,20.71,5,13,7,226,268,468,10,1647
17154,7,0,52,183,9,19.2,950,0.95,19.88,20.71,5,3,7,226,268,468,10,1647
17154,7,0,52,183,9,10.5,950,0.95,19.88,20.71,5,1,7,226,268,468,10,1647
17176,6,4,48,957,10,8.4,528.3333333,0.528333333,12.38819176,13.37575637,3,2,1,397,440,215,0,9570
17176,6,4,48,957,10,9.2,528.3333333,0.528333333,12.38819176,13.37575637,3,10,1,397,440,215,0,9570
17176,6,4,48,957,10,6.9,528.3333333,0.528333333,12.38819176,13.37575637,3,6,1,397,440,215,0,9570
17235,1,0,51,707,9,16,286.25,0.28625,12.38819176,13.37575637,4,8,4,370,381,893,2,6363
17235,1,0,51,707,9,15.2,286.25,0.28625,12.38819176,13.37575637,4,7,4,370,381,893,2,6363
17235,1,0,51,707,9,21.6,286.25,0.28625,12.38819176,13.37575637,4,3,4,370,381,893,2,6363
17235,1,0,51,707,9,12.7,286.25,0.28625,12.38819176,13.37575637,4,5,4,370,381,893,2,6363
17300,4,4,38,842,9,22.4,1186.666667,1.186666667,10.98,14.63,4,17,3,686,727,860,9,7578
17300,4,4,38,842,9,8.6,1186.666667,1.186666667,10.98,14.63,4,6,3,686,727,860,9,7578
17300,4,4,38,842,9,19.6,1186.666667,1.186666667,10.98,14.63,4,5,3,686,727,860,9,7578
17300,4,4,38,842,9,12.4,1186.666667,1.186666667,10.98,14.63,4,0,3,686,727,860,9,7578
17512,4,4,33,743,9,17.8,625,0.625,8.09,6.3,4,7,0,794,860,684,3,6687
17512,4,4,33,743,9,13.3,625,0.625,8.09,6.3,4,1,0,794,860,684,3,6687
17512,4,4,33,743,9,23.1,625,0.625,8.09,6.3,4,6,0,794,860,684,3,6687
17512,4,4,33,743,9,3.7,625,0.625,8.09,6.3,4,11,0,794,860,684,3,6687
17706,6,5,33,512,10,2,105,0.105,12.38819176,13.37575637,2,5,13,764,795,691,5,5120
17706,6,5,33,512,10,12,105,0.105,12.38819176,13.37575637,2,12,13,764,795,691,5,5120
17765,1,0,37,787,4,15,1200,1.2,7.58,4.46,5,17,5,244,227,131,6,3148
17765,1,0,37,787,4,22.9,1200,1.2,7.58,4.46,5,4,5,244,227,131,6,3148
