location,Base Tariff (cents/kWh),Final Per Unit Cost (cents/kWh)
1,12.33,15.1
2,5.16,3.26
5,5.55,8.2
3,13.12,11.68
1,12.42,10.99
6,9.2,9.92
8,9.46,16.11
1,5.1,4.88
7,9.12,13.98
9,6,5.55
5,9.82,10.99
0,12.76,10.99
6,15.93,14.95
8,17.96,20.78
0,5.32,3
4,5.1,6.84
2,11.09,12.53
2,19.2,24.13
0,10.67,13.15
8,18.89,17.4
8,7.3,6.89
4,8.38,9.67
2,17.04,17.21
1,5.73,12.2
5,7.06,7.33
4,13.48,10.15
0,13.6,12.59
2,19.51,21.13
0,9.52,9.95
7,7.2,3.7
3,16.47,16.91
3,10.56,11.83
6,10.3,12.47
2,5.89,8.1
8,7.87,7.96
5,10.69,13.08
7,8.53,12.91
4,16.26,20.05
0,6.23,6.22
2,13.52,14.24
2,5.57,5.49
0,10.38,11.38
2,7.6,5.91
9,19.52,20.83
2,14.72,14.55
1,7.35,9.95
8,19.6,19.34
0,15.95,13.95
0,8.85,7.58
0,10.38,10.1
4,19.32,21.2
9,9.27,9.77
9,11.82,7.42
3,6.57,3.11
8,16.69,13.58
1,10.8,14.06
6,11.93,14.35
0,8.92,7.92
8,17.83,14.92
1,16.37,16.53
0,5.39,3
3,9.48,8.6
2,8.24,15.98
9,10.18,9.77
4,6.73,3
7,16.96,19.62
7,17.74,23.71
8,8.74,14.9
4,7.78,9.79
7,5.21,3.84
9,19.86,21.62
7,15.26,21.09
7,8.43,10.87
3,11.18,8.99
7,18.37,22.28
6,13.49,10.35
3,19.76,18.21
3,19.56,22.57
7,5.93,3
7,15.91,14.83
0,13.88,12.37
6,16.57,18.06
7,13.81,14.62
2,14.06,14.79
5,14.11,10.82
0,19.86,24.02
3,6.18,6.19
2,14.81,13.53
6,9.69,12.61
6,12.92,15.1
9,6.4,9.13
1,17.71,16.9
2,6.08,8.33
7,7.34,7.38
5,13.17,18.56
0,19.61,19.9
5,9.19,10.03
7,7.62,4.22
4,11.58,11.17
3,15.17,11.57
7,16.9,16.56
4,16.68,17.87
8,15.9,17.37
0,15.91,17.22
3,6.6,6.75
7,10.88,11.51
5,7.3,4.11
4,5.53,8.75
8,5.77,7.06
6,15.76,17.95
7,5.69,8.17
2,15.97,11.99
7,6.81,7.81
4,11.55,14.32
6,13.63,16.43
6,6.24,6.37
8,11.21,11.67
8,8.61,9.72
3,10.19,9.34
3,16.72,15.86
7,7.67,8.62
0,15.87,20.28
1,19.46,24.05
8,9.71,11.57
1,19.04,17.51
8,13.49,10.91
1,11.24,6.85
8,8.66,13.44
6,9.83,10.68
6,8.17,9.12
3,14,15.56
7,7.87,13.83
1,18.28,17.86
8,7.18,9.09
6,19.92,19.76
7,17.04,18.33
5,19.98,23.49
7,11.91,11.03
5,15.52,14.09
7,10,14.1
6,11.38,16.94
4,17.71,17.8
1,7.71,12.59
3,13.33,14.37
1,19.22,16.51
8,15.03,14.16
6,14.42,14.5
6,6.74,4.02
7,10.69,7.94
2,15.86,13.92
7,18.01,18.46
8,13.65,16.68
7,13.83,14.79
1,8.4,4.55
5,8.63,7.4
0,8.21,5.37
6,6.94,6.68
8,17.03,19.83
3,17.03,19.59
3,12.8,11.35
4,9.11,5.87
9,12.11,15.92
2,12.42,15.4
2,17.59,16.49
4,7.46,9.2
1,15.49,18.41
7,11.43,10.12
5,6.36,5.38
9,5.53,6.67
9,14.39,11.45
9,11.49,14.4
9,6.48,9.98
8,13.21,15.06
5,11.79,18.74
8,10.52,12.31
2,11.14,12.39
9,18.09,17.77
1,17.53,23.41
6,19.54,17.97
4,6.88,9.71
0,6.76,9.08
4,12.07,16.29
5,12.73,18
9,6.63,10.74
4,8.97,5.54
9,19.38,22.68
4,11.09,8.02
6,11.28,7.92
1,11.67,14.89
5,19.9,20.81
6,7.44,5.39
4,6.22,7.49
8,6.88,8.74
4,5.26,3.04
5,17.71,23.16
7,6.95,8.13
0,10.07,8.82
5,5.98,4.79
7,7.89,8.2
6,9.36,10.4
0,6.97,8.57
2,6.5,6.57
5,5.93,7.52
0,18.59,14.76
7,19.75,18.45
5,11.99,12.05
6,19.27,17.11
0,15.94,17.19
8,16.51,20.4
6,8.23,10.34
9,15.84,11.91
1,19.88,21.62
6,5.86,5.17
0,6.07,7.27
7,15.06,18.87
3,15.49,13.82
4,17.57,22.59
8,16.76,14.25
1,16.22,17.91
0,15.19,15.85
5,8.63,11.98
1,19.38,23.4
6,16.56,18.46
1,19.55,18.05
4,6.76,8.39
9,13.6,15.76
1,13.88,13.87
2,6.22,8.68
1,11.87,14.19
7,19.59,20.41
8,10.16,6.56
2,19.14,17.52
2,10.87,8.97
9,16.11,20.88
2,7.29,8.68
8,5.77,3.82
5,7.25,10.2
5,7.3,10.03
1,8.12,12.8
1,13.68,15.77
0,6.09,4.13
0,19.91,19.2
4,12.57,15.64
8,10.18,12.03
0,9.79,8.83
1,12.19,9.02
6,14.39,11.12
2,14.41,12.45
7,15.29,11.61
1,9.42,11.33
9,15.42,13.48
8,17.82,15.83
7,19.45,20.03
4,15.56,14.32
1,18.47,20.61
5,9.71,11
6,18.6,14.93
0,5.67,3.79
3,8.65,10.44
0,10.21,5.33
4,15.59,18.04
4,16.31,16.32
2,7.01,4.76
9,10.78,13.78
6,10.55,12.99
9,6.42,4.91
1,13.03,10.37
8,18.44,20.35
0,16.22,16.67
0,10.97,7.81
9,16.15,18.08
4,9.52,7.01
3,10.42,12.8
2,17.16,12.51
9,14.01,15.49
1,5.75,4.33
6,18.66,24.27
9,12.59,16.97
2,6.66,4.87
4,13.28,9.53
3,13.07,12.6
0,18.48,21.01
2,19.04,20.08
5,6.09,3.71
4,18.53,20.16
0,10.14,11.79
1,18.23,21.18
6,16.86,14.77
3,14.95,15.72
4,16.52,18.22
5,5.41,9.23
9,12,14.59
0,18.62,18.54
4,13.59,15.22
1,18.08,22.73
5,6.82,5.05
3,14.65,15.2
9,9.3,14.81
6,14.43,18.12
6,11.93,12.46
6,16.71,13.27
0,13.95,14.76
9,17.04,18.2
9,15.34,15.77
8,14.16,20.01
1,17.21,14.34
7,6.85,9.85
5,11.47,16.71
1,15.92,17.44
0,16.02,12.65
0,19.67,19.46
0,10.83,12.42
7,8.72,11.38
5,15.43,15.15
3,10.02,10.53
5,7.19,10.01
6,12.96,12.33
7,17.11,13.06
0,13.23,14.7
7,6.36,10.65
0,15.88,14.97
4,14.63,14.66
9,14.37,17.86
6,13.8,17.96
8,12.41,12.51
7,14.08,16.08
0,16.01,16.43
5,18.01,18.32
8,19.39,22
2,9.21,11.29
7,7.32,5.23
0,15.93,15.61
7,19.09,17.14
1,17.31,20
2,14.31,21.23
6,8.44,12.17
9,14.69,18.79
9,14.91,16.11
5,9.7,11.76
9,7.43,9.91
9,5.45,9.62
4,18.23,18.54
1,13.32,11.61
1,19.05,21.78
8,7.07,12.12
3,19.38,18.74
8,10.76,6.95
2,14.77,19.21
4,9.82,10.8
8,18.14,21.46
9,10.32,9.35
4,5.33,6.24
1,6.83,13.63
8,15.92,16.03
9,7.04,5.04
0,16.68,14.8
9,14.9,16.01
7,18.23,16.18
6,10.27,5.99
8,12.17,15.67
8,9.19,7.33
8,10.51,9.14
5,14.66,14.29
2,6.99,13.1
5,9.86,15.06
9,19.48,21.14
8,8.59,9.89
0,6.8,8.72
9,18.88,22.98
1,16.18,20.04
3,17.8,17.71
7,11.29,12.21
4,19.04,21.31
3,10.08,12.97
1,14.59,18.31
9,18.65,21.27
1,13.63,11.19
6,9.02,7.26
0,6.95,8.31
7,11.77,13.6
1,13.1,13.7
0,8.17,10.49
6,15.97,23.36
8,6.74,7.74
0,11.19,7.26
3,6.12,10.57
0,8.94,9.95
5,17.72,21.63
8,12.7,12.88
3,16.85,21.22
0,6.71,7.48
0,8.83,7.83
0,11.24,12.38
7,12.24,16.31
8,12.32,13.85
3,7.64,7.76
8,6.82,5.91
7,18.69,19.02
3,6.3,4.19
6,17.2,19.73
3,10.38,10.25
0,14.1,12.45
2,11.82,14.19
3,8.51,8.85
5,8.27,8.79
4,9.21,12.04
1,19.02,26.08
3,17.28,16.58
7,19.56,19.46
3,16.15,13.22
8,9.26,10.39
2,16.8,16.37
2,8.06,6.33
7,13.81,17.38
4,17.74,18.4
1,5.48,4.35
9,18.86,20.72
9,18.24,14.84
8,14.18,14.79
1,8.61,9.08
9,11.3,10.39
1,19.23,19.29
9,7.99,8.31
7,6.47,7.04
6,13.55,12.26
1,16.5,17.27
6,10.41,11.62
7,7.93,11.48
5,7.86,6.88
5,12.96,14.83
9,16.27,18.22
4,17.96,16.77
5,11.13,12.12
2,9.07,10.37
0,10.12,14.1
7,5.19,12.46
6,8.93,7.16
1,6.97,6.33
3,10.17,11.93
1,15.98,17.62
7,7.86,8.13
4,15.91,14.47
5,9.65,9.74
4,12.61,9.56
4,14.65,14.57
9,16.49,18.48
7,7.1,9.74
4,15.74,17.96
2,12.03,18.57
3,7.35,6.84
5,16.65,20.68
0,13.51,13.46
2,7.01,7.18
8,5.46,4.92
0,5.37,7.75
4,17.87,24.02
3,17.18,19.57
6,7.15,6.55
0,17.31,23.48
3,10.35,13.01
5,8.46,14.17
6,12.25,8.39
4,6.1,7.37
4,11.69,12.48
4,8.92,7.31
1,8.46,8.41
3,11.96,16.14
9,11.38,15.05
1,5.42,9.34
5,18.32,17.38
5,11.81,14.51
6,13.66,14.26
2,12.15,14.81
2,15.78,19.14
4,9.48,12.69
6,9.81,14.01
3,7.35,10.03
5,7.09,7.02
0,18.29,18.1
0,17.93,23.04
9,9.44,8.92
8,14.43,13.3
5,6.38,10.25
6,17.07,19.44
1,12.01,11.93
8,18.16,17.86
4,9.97,16.16
1,12.7,13.57
3,14.52,11.46
7,8.81,10
4,18.01,15.4
3,7.73,7.89
2,17.69,15.88
4,12.94,14.74
2,7.34,10.64
4,10.74,17.92
8,15.09,17.65
5,5.34,9.19
1,5.17,8.39
4,13.46,11.9
2,12.63,15.18
0,10.9,11.36
4,16.38,12.82
9,10.46,12.41
2,7.46,9.44
7,16.5,18.84
9,8.4,11.21
6,13.85,20.4
3,5.4,7.47
8,8.34,8.47
0,17.7,16.88
8,6.41,3
0,11.45,10
8,18.93,22.42
6,18.2,19.51
7,10.13,9.67
9,11.48,16.52
5,12.73,11.46
3,19.24,19.1
8,5.5,5.6
3,9.88,10.27
2,12.59,16.96
5,5.41,5.06
0,10.15,12.15
4,9.17,12.21
1,9.74,14.59
4,17.46,21.58
0,19.17,19.03
9,19.46,21.36
6,19.52,23.22
9,11.28,12.12
4,16.9,15.36
1,10.91,12.25
3,18.13,18.41
6,10.58,11.09
8,18.17,20.28
8,6.39,4.96
0,19.54,15.02
5,19.99,21.56
3,12.51,15.21
9,14.09,16.75
1,6.99,9.92
1,16,18.63
9,7.04,9.01
0,8.1,7.09
9,16.48,17.53
5,17.52,16.25
0,10.01,12.71
8,5.97,7.96
4,10.19,11.83
4,11.82,12.97
3,9.94,12.89
1,15.31,16.04
4,17.21,15.98
8,14.56,17.88
7,19.46,19.79
8,17.25,19.77
2,16.9,13.8
1,13.85,16.63
2,14.12,14.89
4,10.05,11.01
2,8.17,6.58
8,7.87,5.74
7,13.11,14.75
0,11.03,10.81
6,10.08,10.97
9,15.72,22.76
9,6.63,11.35
1,9.53,9.81
1,10.55,9.08
5,5.29,3
7,9.49,7.41
8,17.32,14.24
3,19.83,17.99
6,16.69,17.53
3,13.32,12.9
6,13.79,13.42
1,15.17,16.55
5,19.61,17.25
5,6.7,10.32
6,18.44,18.17
0,10.51,12.76
6,10.33,18.11
6,14.91,13.18
4,8.46,11.99
5,15.39,13.85
5,10.01,11.79
8,17.31,20.53
8,13.56,13
8,6.54,6.52
2,9.84,12.66
8,5.96,7.79
2,8.91,15.07
0,9.93,6.64
5,15.84,18.06
9,7.92,10.6
0,9.54,9.25
7,7.29,7.13
2,18.69,21.73
4,5.99,3.93
4,19.63,22.36
3,11.37,14.33
8,9.24,9.1
4,9.51,9.09
2,9.13,10.04
4,11.41,11.46
2,7.85,10.01
8,8.19,8.11
5,5.21,12.48
5,7.55,7.75
3,13.97,14.85
9,8.72,11.3
5,17.72,20.27
9,15.45,15.49
6,8.37,7.49
1,10.59,11.46
8,11.56,11.36
3,8.76,8.76
5,9,8.49
6,10.04,10.5
8,7.93,9.55
4,11.73,10.68
1,11.41,13.39
9,7.49,5.47
9,5.37,5.36
1,18.21,21.24
0,8.51,8.11
7,15.99,15.47
7,13.14,12.89
6,9.51,11.26
3,16.07,20.87
5,15.33,18.1
3,17.39,19.08
1,10.8,14.55
3,18.22,21.15
2,13.52,14.22
3,12.19,11.16
8,17.19,19.12
1,17.4,19.42
7,9.14,11.09
7,5.88,8.19
2,11.84,10.93
3,14.75,13.01
7,5.82,9.18
0,19.25,22.17
9,18.41,17.42
0,18.98,19.39
6,8.45,5.62
8,5.42,11.53
1,11.97,16.11
7,6.26,13.42
4,17.64,18.64
0,18.36,17.46
9,13.52,14.95
1,17.22,21.38
6,15.66,17.7
7,6.73,5.67
2,15.2,17.54
4,8.49,8.21
1,9.88,12.64
9,7.84,13.33
1,12.7,15.59
0,13.02,14.2
4,16.24,15.21
5,5.29,4.48
3,10.49,14.24
1,19.72,21.1
7,14.38,13.34
2,17.34,14.08
8,17.6,13.64
6,10.81,6.93
9,19.54,23.69
2,16.52,18.37
8,5.51,9.29
0,10.77,15.74
0,8.69,10.48
8,14.78,13.41
2,17.49,21.63
9,14.74,16.56
7,6.55,8.87
1,6.75,4.96
7,15.11,19.06
2,15.3,14.58
7,14.03,14.26
4,9.55,8.37
4,5.47,10.67
5,10.53,11.64
1,14.53,12.94
0,14.71,13.86
1,18.81,19.49
9,13,13.7
7,15.02,15.39
9,8.92,9.04
0,16.33,20.68
6,8.81,15.06
0,5.4,10.42
5,14.33,13.95
1,14.12,16.7
4,14.38,15.26
5,6.04,9.28
5,7.91,4.62
2,13.99,18.63
9,10.21,15.74
3,12.46,14.66
8,15.43,17.45
9,10,13.39
9,19.5,19.64
3,16.48,17.07
9,10.55,12.31
3,12.14,11.24
7,14.43,19.44
4,19.63,20.06
2,12.75,12.9
0,9.45,6.38
5,13.83,14.04
3,9.67,9.84
9,17.42,13.05
1,17.17,18.1
9,16.89,19.79
3,19.54,20.4
3,15.42,16.25
0,9.82,9.94
2,11.91,11.84
4,6.44,6.61
7,11.01,9.9
6,6.53,9.92
3,14.63,14.26
5,14.27,15.98
5,17.54,18.73
7,14.49,11.46
8,13.78,19.72
3,10.23,15.07
0,14.07,14.52
8,10.59,15.26
9,12.84,16.44
5,10.41,9.18
1,18,21.33
6,6.18,6.2
9,18.39,19.42
8,17.05,19.46
9,5.34,3
5,13,13.64
9,9.66,12.14
7,15.73,15.75
8,5.66,5.37
8,7.89,7.39
6,11.44,14.19
7,18.55,20.02
1,8.11,5.69
5,17.63,16.98
4,12.01,14.46
2,8.76,8.08
6,15.36,13.43
1,11.57,10
1,12.06,16.88
4,14.8,15.53
9,5.62,3
1,9.3,11.58
8,15.73,13.95
4,18.99,20.05
6,14.07,18.17
4,18.9,20.99
5,15.66,12.14
1,14.15,14.18
9,16.84,20.83
6,11.44,8.44
5,8.68,10.16
1,19.93,19.03
3,9.28,11.72
5,19.77,21.18
6,13.45,12.44
